Name,Address,Category
Neet,0x4Cb5f4d145cd16460932bBb9B871bB6Fd5dB97E3,New
Shadow Wallaby,0x469E9A7f624b04C24f0E64EDF8d8a277e6bf58A5,New
Diamond Eel,0x3C363e96D22C056d748F199Fb728Fc80d70e461a,New
Mega Wombat,0x833b99b27dAC651d02080F5e220e929Df891dB06,New
Mighty Wildcat,0x5AaDB434293B4E1B8Fb2e84007e567506fe65a96,New
CryptoNexus,0xadD12ADBbD5Db87674b38Af99b6dD34Dd2A45e0d,Twitter KOL
CLCat,0xcb58B8f5EC6D47985f0728465C25a08EF9Ad2C7B,Twitter KOL
Loracle,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,Twitter KOL
Sifu,0xF967239DeBeF10DbC78E9Bbbb2d8A16B72a614eb,Bad KOL
MachiBigBrother,0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,Bad KOL
Venom Gibbon,0x9e8b1e51c642f4C8b87c6BA11c53D516a218Afc4,God Tier
Nitro Antelope,0x015354106478Dda69C4aAe3C0Cf801290b738052,God Tier
Charged Macaque,0xBFc79C444c41A74516bF31237eBF586a231480b4,Veteran
Wild Tamarin,0xadEd86bF6e6fd72F78DCa132aF112FA36230809E,Whale
Crystal Mole,0xFce053a5e461683454bF37Ad66d20344c0e3F4C0,God Tier
Silent Viper,0x0748e296e5a350Ec36C8487a1Cea406e1B57d4b2,Veteran
Cosmic Venom,0x8bAe3527E5a33fA0cf184f37Bc112D071463aB6d,Whale
Swift Wasp,0xbAAaF6571ab7d571043Ff1E313a9609A10637864,Veteran