address,account_value,coin,direction,size,entry_price,position_value,unrealized_pnl,pnl_percent,leverage_type,leverage_value,liquidation_price,distance_to_liq_pct,risk_level
0x0e09b56ef137f417e424f1265425e93bfff77e17,767259.716215,LIT,LONG,310323.0,3.094045,851619.4089,-108534.1387,-12.744441656184053,isolated,3,0.3262170792,88.11,LOW
0x853c6d722c0bcf77a7aa9f08d96b06f13dd89949,513135.390826,PENGU,LONG,27256209.0,0.011026,283192.01151,-17346.719094,-6.125426703071905,isolated,1,9.4331e-06,99.91,LOW
0x5aa13316231716ea438eb243feabc296a9094b2b,280167.52791,BTC,LONG,4.19431,93810.0,376078.61184,-17389.60926,-4.6239293361884375,cross,23,23156.4067232857,74.17,LOW
0x3e75497d32942dc8edfceab39dbfbaf2297311c9,251164.496228,PUMP,LONG,109187105.0,0.001924,236062.52101,25917.341022,10.97901560616736,cross,5,,,UNKNOWN
0x19263b1bbad9fb9e50578c84d656553858fb8f55,179406.009701,BTC,SHORT,1.12529,89497.9,100919.38307,-208.28267,-0.2063851994175691,cross,40,238909.9841921682,166.39,LOW
0x19263b1bbad9fb9e50578c84d656553858fb8f55,179406.009701,HYPE,SHORT,6612.26,24.541,162436.77916,-164.849627,-0.1014854073396908,cross,10,49.0548072207,99.69,LOW
0xa36543f295b6b29fad014af7f951eee03cb97549,156893.686829,ETH,LONG,46.6604,3001.95,144138.64164,4066.3864,2.8211632590212607,isolated,10,2766.2878342716,10.45,MODERATE
0xa36543f295b6b29fad014af7f951eee03cb97549,156893.686829,MON,LONG,730727.0,0.019182,19784.433525,5767.009437,29.14922699056656,cross,5,,,UNKNOWN
0xa36543f295b6b29fad014af7f951eee03cb97549,156893.686829,LIT,LONG,26261.0,2.780083,72068.0623,-939.708512,-1.303918104649804,isolated,1,0.0036522699,99.87,LOW
0x8844eb7b4e11adbedfb87739c83f151bf0e32c64,105252.066933,HYPE,LONG,4096.64,24.407,100515.15904,528.46656,0.5257580697750244,cross,10,,,UNKNOWN
0x6ab645ffb20c5ab0d57c2fd218d4c3bd22273cc9,103747.863295,PUMP,LONG,80000000.0,0.001949,172880.0,16953.804228,9.806689164738547,isolated,2,0.0010274033,52.46,LOW
0x35b5d0398429785e5071560252e8a33d0bd57248,65720.553351,HYPE,LONG,10824.46,27.6587,265588.95056,-33801.83764,-12.727124968387463,cross,5,19.436330915,20.78,LOW
0x1d7177e6dc59bea0b80dc867d51868d617885878,61749.605869,HYPE,LONG,2050.0,25.3081,50339.8,-1541.91062,-3.063005057628358,isolated,5,21.2451392118,13.48,MODERATE
0x1d7177e6dc59bea0b80dc867d51868d617885878,61749.605869,PUMP,LONG,1500000.0,0.001897,3243.0,397.5,12.257169287696577,cross,10,,,UNKNOWN
0x1d7177e6dc59bea0b80dc867d51868d617885878,61749.605869,LIT,LONG,5600.0,3.321171,15369.76,-3228.803165,-21.007505419733295,isolated,3,0.1850059157,93.26,LOW
0xebe6a3ed28a00b0e51f38a6914b1dafb240fa9db,58674.914856,HYPE,LONG,0.01,25.693,0.24562,-0.01131,-4.604673886491328,isolated,2,13.5792631579,44.71,LOW
0x7fbab3bf2286daa18e680b857bf1fdbf666279cb,52816.253948,HYPE,SHORT,126.73,24.871,3109.44728,42.45564,1.3653757782958778,cross,5,420.2838522694,1612.93,LOW
0x49dab3b6fd70cbdece09a09f364d22393ca7b258,47859.656424,ETH,LONG,60.0,2940.65,185472.0,9032.962314,4.870256596143893,cross,5,2340.3459791837,24.29,LOW
0x55a8f87e59611f86a31a58b361038f36fbded9ea,45611.166269,ETH,SHORT,20.0,3000.0,61772.0,-1772.0,-2.868613611344946,cross,25,5184.8304543627,67.87,LOW
0x55a8f87e59611f86a31a58b361038f36fbded9ea,45611.166269,SOL,SHORT,500.0,125.0,64505.0,-2005.0,-3.1082861793659404,cross,20,212.450197598,64.68,LOW
0x1e6da01cf34373cf673434e51dc3124b70ba4663,24092.824678,ETH,LONG,6.9383,3010.0,21436.57168,552.28868,2.5763852925945105,cross,25,,,UNKNOWN
0x1e6da01cf34373cf673434e51dc3124b70ba4663,24092.824678,HYPE,LONG,198.92,24.555,4882.88924,-1.59846,-0.03273594631034473,cross,10,,,UNKNOWN
0x7b73dfae34492a35715ca037b19e006befdbe4cc,22585.890062,BTC,LONG,0.48965,87850.7,43873.6193,857.50507,1.954489015680546,cross,10,44025.7207496442,50.87,LOW
0xa76e0fdc290a2df9ac750ff1e7315a20628b529c,17889.157383,LIT,LONG,19627.0,2.77905,53844.7118,-699.7084,-1.299493258686176,isolated,3,2.2136454533,19.31,LOW
0x1b986bbffa3f0fcedf87e0c722e879c4f47b2e6e,16772.096996,BTC,LONG,0.59008,87776.0,52911.88352,1117.00624,2.1110687537286137,cross,20,66145.7920419287,26.23,LOW
0x1b986bbffa3f0fcedf87e0c722e879c4f47b2e6e,16772.096996,LIT,LONG,2417.0,2.6322,6633.6982,271.6688,4.095284286523617,isolated,3,2.1001574438,23.48,LOW
0xdfdea862f75659d8d5ce9d598a2be194013d2bff,13156.86959,BTC,LONG,0.146,88452.0,13091.674,177.682,1.3572137528019714,cross,10,,,UNKNOWN
0x44ace53abbdad763e91158d30a2ee42b27355f22,11903.871783,ETH,SHORT,10.0,3014.89,30904.0,-755.000001,-2.44304944667357,cross,25,3755.8134591176,21.53,LOW
0x44ace53abbdad763e91158d30a2ee42b27355f22,11903.871783,AAVE,SHORT,55.0,178.74,8503.55,1327.15,15.607011189444412,cross,10,272.137572,76.02,LOW
0x44ace53abbdad763e91158d30a2ee42b27355f22,11903.871783,UNI,SHORT,3400.0,5.74398,19970.24,-440.68213,-2.2066942109859466,cross,10,7.7747813118,32.37,LOW
0x44ace53abbdad763e91158d30a2ee42b27355f22,11903.871783,MNT,SHORT,20000.0,1.0421,19892.2,949.8,4.7747358261026935,cross,5,1.3031198765,31.02,LOW
0x44ace53abbdad763e91158d30a2ee42b27355f22,11903.871783,FARTCOIN,SHORT,70000.0,0.2835,21713.3,-1868.3,-8.604403752538767,cross,10,0.4025330923,29.77,LOW
0x62938ac3c1fe3d2a56827137c04a2da2a1ca78ed,11727.000196,ETH,LONG,8.0,3128.0,24708.8,-315.2,-1.2756588745710031,cross,25,1655.8418117347,46.39,LOW
0x076ab36e4a2913a6a3df3f5e78fec5eca6378e75,9738.628973,LIT,LONG,3000.0,2.46,8228.4,848.4,10.31063147148899,isolated,3,1.9700289124,28.17,LOW
0xefb9bd738480a9030b5f0e825ab1068752e433ec,9201.37233,BTC,SHORT,0.3,86750.0,26885.7,-860.7,-3.2013300750956826,cross,20,118805.1763950617,32.57,LOW
0xaa466031f86b8ef4a79257435af0ae2aa0842c47,7713.548436,LIT,SHORT,5802.0,3.022628,15913.7256,1623.564,10.202287263266625,isolated,3,3.4537186379,25.92,LOW
0x9bd6cc3414d3896464181b6842b04befe88bda15,7193.986135,XPL,LONG,16822.0,0.17832,3015.3435,15.64446,0.5188284518828452,cross,10,,,UNKNOWN
0x9bbf7308dfd3f28c09ee9db550d25f46ed731989,6443.915895,XPL,LONG,29898.0,0.167282,5359.2165,357.81426,6.676615135813228,isolated,5,0.1410099165,21.33,LOW
0x9bbf7308dfd3f28c09ee9db550d25f46ed731989,6443.915895,MON,LONG,441628.0,0.022662,11967.677172,1959.12149,16.370106427867473,isolated,5,0.0201827975,25.52,LOW
0x9bbf7308dfd3f28c09ee9db550d25f46ed731989,6443.915895,LIT,LONG,1131.0,2.643021,3104.1426,114.8858,3.7010477547004443,isolated,3,2.100850087,23.46,LOW
0x9452698e709de91c16ad685ba8299775948632f1,6060.148318,SOL,LONG,403.88,126.3381,52161.102,1135.6326,2.177163741670949,cross,15,118.6050771516,8.16,MODERATE
0x9452698e709de91c16ad685ba8299775948632f1,6060.148318,HYPE,LONG,491.56,25.7782,12074.18828,-597.352178,-4.947348543416949,cross,10,15.6709841322,36.2,LOW
0xe145a97a01ac61fd5faa866c15f58e672c532243,5804.248283,ZEC,SHORT,0.01,520.229,4.8598,0.34249,7.047409358409812,cross,10,553248.3888571429,113741.8,LOW
0x3e0f2d4aa828f2aa19deccf8a6bd0360c746cf48,5146.139421,ASTER,SHORT,14182.0,0.704892,10676.77688,-679.99336,-6.368901098549509,cross,5,0.7980722159,6.01,HIGH
0x3e0f2d4aa828f2aa19deccf8a6bd0360c746cf48,5146.139421,LIT,LONG,3651.0,2.752975,10019.4393,-31.6737,-0.31612248002740034,isolated,3,2.1845880631,20.4,LOW
0x0a522be633b063aee34253aae2fcb94e9c4d1903,4700.340958,BTC,LONG,0.01661,88319.8,1489.31904,22.325548,1.4990440194734904,cross,20,,,UNKNOWN
0x0a522be633b063aee34253aae2fcb94e9c4d1903,4700.340958,ETH,LONG,0.4972,3026.95,1536.39772,31.395062,2.043420241472371,cross,25,,,UNKNOWN
0x0a522be633b063aee34253aae2fcb94e9c4d1903,4700.340958,XPL,LONG,931.0,0.151615,166.95623,25.801986,15.454341536102007,cross,10,,,UNKNOWN
0x0a522be633b063aee34253aae2fcb94e9c4d1903,4700.340958,MON,LONG,12558.0,0.026519,340.246452,7.217729,2.1213238103067718,cross,5,,,UNKNOWN
0x0a522be633b063aee34253aae2fcb94e9c4d1903,4700.340958,LIT,LONG,55.0,2.802323,150.9475,-3.1803,-2.1068914688881897,isolated,3,2.2416681382,18.32,LOW
0x494d085100c43fa2b34194b6a3eba66c337feb2c,4633.440562,BTC,LONG,0.00174,88640.1,155.9736,1.73981,1.115451589243308,cross,40,,,UNKNOWN
0x4947e2aa7bf06206ea7512d0e3ac6167e5cdb9a2,4620.653699,ASTER,LONG,3772.0,0.746232,2841.14584,26.35745,0.9277049290788958,isolated,5,0.6633108867,11.94,MODERATE
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,4563.613915,HYPE,LONG,203.06,24.6279,4986.34136,-14.60226,-0.2928451733597316,isolated,5,20.7499136112,15.5,LOW
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,4563.613915,XPL,LONG,16454.0,0.152047,2949.3795,447.59454,15.175888352109315,isolated,5,0.1282748865,28.44,LOW
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,4563.613915,MON,LONG,223244.0,0.022425,6050.135644,1043.773219,17.25206310101698,isolated,5,0.0199923693,26.23,LOW
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,4563.613915,LIT,LONG,576.0,2.603593,1580.8896,81.2199,5.137607331973086,isolated,3,2.0799423938,24.22,LOW
0x632c9d55ebcca152488018b3cf80472216d1f4cc,4198.759231,HYPE,LONG,0.02,28.3477,0.49124,-0.075715,-15.413036397687485,isolated,10,3.2481578947,86.78,LOW
0xeea048359dcc800128c5c01520e38a94b8c22e43,3606.398514,BTC,SHORT,0.00012,89812.0,10.75968,0.01776,0.16506067094932195,cross,10,29769055.05349794,33100.68,LOW
0xeea048359dcc800128c5c01520e38a94b8c22e43,3606.398514,PAXG,SHORT,0.001,4399.6,4.3601,0.0395,0.9059425242540309,cross,5,3438689.636190476,78767.22,LOW
0x3a6f0d3f4e012e1e7b581a44236d3630ea070242,3266.166987,HYPE,LONG,480.0,31.1312,11777.28,-3165.74394,-26.88009404548418,cross,5,18.6647215197,23.93,LOW
0x294c189cb5f98ee91bd65cb9d74d6c164bfaeb9b,2933.805901,XPL,LONG,116789.0,0.17135,20934.42825,922.6331,4.4072524407252445,isolated,10,0.1623890845,9.41,MODERATE
0x6e7f0c851772d7fdeb95d67dea8f245d8a7717a1,2594.622835,HYPE,LONG,393.19,25.4363,9653.60088,-347.72792,-3.6020540347841683,cross,10,18.8979964019,23.03,LOW
0x6c8031a9eb4415284f3f89c0420f697c87168263,2549.233651,BTC,LONG,1.11568,89599.7,99967.15936,2.53767,0.002538503660848646,cross,40,88422.3648439642,1.32,CRITICAL
0x3e13aa8c050804a79f6e795ed99fa47ca7eb1989,2306.60713,HYPE,LONG,100.58,24.8621,2468.03204,-32.60538,-1.3211084569226257,isolated,5,20.9439195508,14.65,MODERATE
0x3e13aa8c050804a79f6e795ed99fa47ca7eb1989,2306.60713,LIT,LONG,531.0,2.836494,1457.2233,-48.9554,-3.359498849627232,isolated,3,2.2620139842,17.57,LOW
0x51fbe1854e6b265a8d2eee406dc2f584b774d90e,2205.206714,ETH,LONG,0.75,3052.9,2317.575,27.9,1.2038445357755412,cross,10,583.4547782313,81.12,LOW
0x51fbe1854e6b265a8d2eee406dc2f584b774d90e,2205.206714,TRX,LONG,22144.0,0.28642,6329.41952,-13.06496,-0.2064164013574502,cross,10,0.1982508892,30.64,LOW
0x8d47c704feb7cf9d0ec7cd6a15ad76db341e5eea,1790.83721,CRV,LONG,9439.7,0.34877,3813.6388,521.282867,13.668910306870172,cross,10,0.2255648836,44.17,LOW
0x603807c9b5131e0fc7cd4d4fcd933b8bf3f6ab8e,1242.464904,PUMP,LONG,230734.0,0.00217,498.846908,-1.845872,-0.37002775208140615,isolated,5,0.0018280085,15.45,LOW
0x603807c9b5131e0fc7cd4d4fcd933b8bf3f6ab8e,1242.464904,MON,LONG,37842.0,0.026331,1024.042362,27.62466,2.6976091053545694,isolated,5,0.0234126427,13.48,MODERATE
0x122fe5d43f1f917353576987d645418d139cb48b,1209.609554,ETH,SHORT,1.3097,3053.81,4046.84203,-47.26685,-1.1679934538981747,cross,20,3934.7819392856,27.34,LOW
0xe50227befd91fb62fdec5a54fef3e61b32c237df,1199.583952,XPL,LONG,2576.0,0.165195,461.95408,36.41094,7.881939261149073,isolated,3,0.1161927292,35.21,LOW
0x7b8456730daaf5251e525b3ed6ce9bcf98796c97,1149.064359,HYPE,LONG,80.0,24.7712,1965.04,-16.65832,-0.8477343972641778,isolated,3,16.2042240132,34.03,LOW
0x3a1da0ebb29701f4eb11edc52c2101614b23f25a,1107.452356,BTC,LONG,0.10189,87270.8,9132.80826,240.77882,2.63641601953439,isolated,10,79868.6226869135,10.89,MODERATE
0xc882226bf160debbd65cbf77522786198707853d,1026.758823,HYPE,LONG,129.45,24.7775,3179.5509,-27.9046,-0.8776270887816262,isolated,3,17.5066124372,28.72,LOW
0x824cf4e8dbde38f59ceedde735c657f86212ed1e,972.89055,HYPE,LONG,105.0,24.9711,2576.595,-45.37656,-1.7611056452411031,cross,10,16.077237594,34.48,LOW
0xcc1159ebaed7316a43cf6c6e76d61a2f6fa65e26,945.458289,ETH,LONG,0.1671,2991.82,516.52281,16.5886,3.2115909847234043,cross,25,,,UNKNOWN
0xcc1159ebaed7316a43cf6c6e76d61a2f6fa65e26,945.458289,SOL,SHORT,3.98,125.5279,514.017,-14.4157,-2.8045181385051463,cross,20,333.8502284594,158.5,LOW
0xcc1159ebaed7316a43cf6c6e76d61a2f6fa65e26,945.458289,BCH,LONG,0.54,610.0,321.6132,-7.7868,-2.421169280365358,cross,10,,,UNKNOWN
0xcc1159ebaed7316a43cf6c6e76d61a2f6fa65e26,945.458289,HYPE,LONG,57.91,26.0202,1422.44333,-84.39082,-5.9328071790389005,cross,10,9.3838275727,61.8,LOW
0x6d45a9a902970e153534c8e9ea6a4e2c234cafab,845.222223,ZEC,LONG,10.59,542.4349,5146.5282,-597.857559,-11.616715886255127,cross,5,427.5439567616,12.02,MODERATE
0x67df2e3647c22197bb63ed3d43b6d0dd949c52d7,801.400785,LIT,LONG,392.0,2.655456,1075.7656,34.8268,3.2373966968268926,isolated,3,2.1263382367,22.52,LOW
0xcc4da230c91b5ed09f702674d03dc833e977dd4e,789.05443,BTC,SHORT,0.00585,94222.0,524.3472,26.8515,5.120938950374867,cross,40,221741.3324891844,147.39,LOW
0x2a052a10be9b324722e49d72208d720ee57cd437,788.222486,FARTCOIN,LONG,790.4,0.29468,244.992384,12.076196,4.929212819938108,cross,10,,,UNKNOWN
0xbbc3c815ff8a387e1414945cbfbe20e6fb42053e,614.13652,TAO,LONG,9.044,220.548,2185.0304,190.392973,8.713515976711355,isolated,5,195.6710985798,19.01,LOW
0x3e2493fe35c0d136373183f11f022aba5c9f4f58,602.247625,BTC,SHORT,0.005,89050.0,448.035,-2.785,-0.6216032229624918,cross,5,207463.2345679012,131.53,LOW
0x7d86ef4662d0933d229c85a10ebb91afad138f47,601.280201,CC,SHORT,70.0,0.16317,10.8395,0.5824,5.37294155634485,cross,3,7.4953432776,4740.39,LOW
0xdc7caa98995cceea096aa9149d5f4eb08c57c5ae,578.559038,BTC,LONG,0.00568,89719.0,509.10976,-0.49416,-0.09706354873259551,cross,10,,,UNKNOWN
0xefa43e9146a79e3c28bf19d6627a2eb409b2d2af,576.105882,BTC,SHORT,0.0137,88785.6,1227.9858,-11.621909,-0.9464204716373757,cross,40,130059.7770208164,45.1,LOW
0x9cb489ab8f9a6ebc05ab0af81420d8332231bc70,536.414926,BTC,LONG,0.01434,88736.3,1285.581,13.10188,1.0191407620367756,cross,4,53134.5865155447,40.73,LOW
0x9cb489ab8f9a6ebc05ab0af81420d8332231bc70,536.414926,SOL,SHORT,1.01,125.563,130.3809,-3.5622,-2.732148650607566,cross,2,628.5690065202,386.92,LOW
0x9ed1a07bff29bdcf3b336c3796c2b383b15fca88,411.119947,BTC,SHORT,0.00728,89447.2,652.87768,-1.70174,-0.2606521944508809,cross,40,144349.1557454891,60.96,LOW
0x3cd22cbd26be7f3176b2dd069cb788b070dfdfe7,370.999525,FARTCOIN,SHORT,700.8,0.30963,217.262016,-0.268864,-0.12375103800933156,cross,10,0.7836221516,152.77,LOW
0x3cd22cbd26be7f3176b2dd069cb788b070dfdfe7,370.999525,WLFI,SHORT,761.0,0.15267,116.41017,-0.2283,-0.19611688566385566,cross,5,0.5692827559,272.15,LOW
0xad31f493250333e69cec526b698641aa78ebda99,341.710331,ETH,SHORT,2.7666,3091.0,8551.83726,-0.27666,-0.0032350943029989324,cross,25,3151.58111216,1.96,CRITICAL
0xb30983eb1abf4621e26302ecca2db6f41bd1732e,315.756649,LIT,LONG,316.0,2.7028,867.1988,13.114,1.512225339795212,isolated,3,2.1606893772,21.27,LOW
0xce1f932605d2a37d4181d5283dcdcbb263e165ad,273.634303,BTC,LONG,0.05851,89154.0,5244.36832,27.96778,0.5332916815423064,isolated,30,87322.7693113154,2.58,CRITICAL
0x43e1eeb3670134162d72c7333acf6a30ad61fd47,195.869189,ETH,LONG,0.9017,2992.6,2787.33504,88.90762,3.1896997929606625,isolated,25,2932.7876324313,5.12,HIGH
0xeae62a6357207259f2e0c73fbbe4124cd61beb20,166.904472,BTC,LONG,0.00463,93077.3,414.93597,-16.01217,-3.8589496109484074,cross,40,54248.6257484211,39.47,LOW
0xa1ae17e331e0e52fa5a843fd11b9293dfa6613aa,152.791121,ETH,LONG,0.9,3050.0,2781.09,36.09,1.2976926313064303,cross,25,2979.9307018141,3.57,HIGH
0xa6d945207fa56548bc869050cb3b41561b36bfd3,142.089431,SOL,SHORT,0.88,124.7286,113.5464,-3.785186,-3.3336028266858304,cross,20,283.4100121951,119.65,LOW
0x56e26e551f397cbb28b2b3166fc8803fa5a9401c,68.73299,BTC,LONG,0.00279,86868.7,250.07328,7.709461,3.0828807459957335,cross,40,66391.1935030171,25.93,LOW
0x56e26e551f397cbb28b2b3166fc8803fa5a9401c,68.73299,ETH,LONG,0.0255,2917.59,78.78735,4.38879,5.570424693811887,cross,25,527.4220088035,82.93,LOW
0xe1c7707b25922525ac8bd20d9aac0f835c5e7f08,65.218513,LIT,LONG,25.0,2.51,68.61,5.86,8.541029004518293,isolated,3,2.01039456,26.75,LOW
0x943e0a6fe914fa7f9f00da74b9c88a4580c0f3c4,58.340603,LIT,SHORT,10.0,2.5076,27.433,-2.357,-8.59184194218642,isolated,1,4.3022604857,56.83,LOW
0xdcdd09da8860186b3aa7ccb17c88c2845e24d17c,54.136528,ETH,LONG,0.0325,3076.0,100.412,0.442,0.4401864319005696,cross,20,1452.9190580848,52.97,LOW
0xc1d68ce6ecbbc573a099c2098b2dd6d61ae698f0,47.700998,XRP,LONG,6.0,1.9217,11.5254,-0.0048,-0.04164714456765058,isolated,2,0.9863740171,48.65,LOW
0xc3f24fb0b86c0ef0d7409578dc1b6def8780e843,44.646232,ETH,LONG,0.158,2920.0,488.1726,26.8126,5.492442631970742,cross,25,2864.4172565229,7.29,MODERATE
0x3131e29587fe93f5107e3d89fe8cf89ae2c3438d,27.415129,LIT,LONG,10.0,3.7058,27.446,-9.612,-35.021496757268814,isolated,1,0.00370452,99.87,LOW
0xc1459e02aba0e79c1be8be51fab8fb3c053f7573,8.566978,PAXG,SHORT,0.011,4367.809,47.9611,0.0848,0.1768099564021676,cross,10,4894.2058874459,12.25,MODERATE
